dataset,classifier,metric,experimento,experimento_num,valor,author
car.csv,naive_bayes,f1_score,v18,18,0.7036815087804622,romulo-jordao
car.csv,naive_bayes,f1_score,v19,19,0.7778633004926109,romulo-jordao
car.csv,naive_bayes,f1_score,v20,20,0.7550512492197672,romulo-jordao
data.csv,naive_bayes,f1_score,v1,1,0.5759757354946173,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v2,2,0.5824775353016688,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v3,3,0.5305674717672684,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v4,4,0.5750612074678184,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v5,5,0.5064840570007626,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v6,6,0.5387386824969826,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v7,7,0.5546750916039956,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v8,8,0.569884516093147,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v9,9,0.5501327106874266,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v10,10,0.5648377826279701,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v11,11,0.550433074708437,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v12,12,0.5379115379115379,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v13,13,0.5455736029571646,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v14,14,0.521900462802619,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v15,15,0.5438427871148459,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v16,16,0.5749398569397073,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v17,17,0.6154658147632478,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v18,18,0.5625985400537342,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v19,19,0.5863101788951216,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v20,20,0.6063515509968056,luiz-miguel-silva
garments-workers,naive_bayes,f1_score,v1,1,0.6422211429496519,isaque--cruz
garments-workers,naive_bayes,f1_score,v2,2,0.6959089841259187,isaque--cruz
garments-workers,naive_bayes,f1_score,v3,3,0.6451855836471221,isaque--cruz
garments-workers,naive_bayes,f1_score,v4,4,0.6588947873061902,isaque--cruz
garments-workers,naive_bayes,f1_score,v5,5,0.6532064023433414,isaque--cruz
garments-workers,naive_bayes,f1_score,v6,6,0.6863298259140171,isaque--cruz
garments-workers,naive_bayes,f1_score,v7,7,0.634272899508951,isaque--cruz
garments-workers,naive_bayes,f1_score,v8,8,0.7004036109313861,isaque--cruz
garments-workers,naive_bayes,f1_score,v9,9,0.6108058608058609,isaque--cruz
garments-workers,naive_bayes,f1_score,v10,10,0.6773537396553562,isaque--cruz
garments-workers,naive_bayes,f1_score,v11,11,0.6862342261084525,isaque--cruz
garments-workers,naive_bayes,f1_score,v12,12,0.6834516344654168,isaque--cruz
garments-workers,naive_bayes,f1_score,v13,13,0.6419378815590576,isaque--cruz
garments-workers,naive_bayes,f1_score,v14,14,0.6514393957870946,isaque--cruz
garments-workers,naive_bayes,f1_score,v15,15,0.6481368563685637,isaque--cruz
