dataset,classifier,metric,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,author
wine,svm,f1_score,0.9717813051146384,0.944055944055944,0.970961887477314,0.9696394686907022,1.0,1.0,0.9717813051146384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9701104613385314,0.9747545582047684,0.970961887477314,1.0,1.0,0.9701104613385314,larissa-v2
wine,naive_bayes,accuracy,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,1.0,0.9444444444444444,0.9722222222222222,0.9714285714285714,1.0,0.9444444444444444,1.0,1.0,0.9714285714285714,0.9428571428571428,0.9444444444444444,0.9722222222222222,1.0,1.0,0.9428571428571428,larissa-v2
wine,naive_bayes,f1_score,0.945824706694272,0.944055944055944,1.0,1.0,1.0,1.0,0.944055944055944,0.9740129935032484,0.9726327312534208,1.0,0.942857142857143,1.0,1.0,0.9726327312534208,0.9441538629181648,0.9457411645054664,0.970961887477314,1.0,1.0,0.9441538629181648,larissa-v2
wine,knn,accuracy,0.9166666666666666,0.8888888888888888,0.9166666666666666,1.0,1.0,0.9722222222222222,0.8888888888888888,1.0,1.0,0.9714285714285714,0.8888888888888888,0.9722222222222222,1.0,1.0,0.9428571428571428,1.0,0.9722222222222222,0.9722222222222222,0.9428571428571428,0.9142857142857144,larissa-v2
wine,knn,f1_score,0.9163636363636364,0.8876328502415459,0.9162962962962964,1.0,1.0,0.9751724137931036,0.8876328502415459,1.0,1.0,0.974320987654321,0.8877655677655678,0.974320987654321,1.0,1.0,0.9434817813765184,1.0,0.970961887477314,0.974320987654321,0.9439932048627702,0.9133333333333332,larissa-v2
wine,decision_tree,accuracy,0.9444444444444444,0.8055555555555556,0.9722222222222222,0.9428571428571428,0.9714285714285714,0.9166666666666666,0.9444444444444444,0.8611111111111112,0.8857142857142857,0.9428571428571428,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9428571428571428,0.9714285714285714,0.9444444444444444,0.9722222222222222,0.8611111111111112,0.8571428571428571,0.9142857142857144,larissa-v2
wine,decision_tree,f1_score,0.9484126984126984,0.8088405797101449,0.9740129935032484,0.9375,0.9701104613385314,0.91514687100894,0.9451526251526252,0.864606657710106,0.8870509607351712,0.943249299719888,0.8902691511387163,0.94531328320802,0.944469435697506,0.9465811965811968,0.9740129935032484,0.9457411645054664,0.9691228070175438,0.8621193789070377,0.86,0.9176703514271572,larissa-v2
glass_identification,perceptron,accuracy,0.4285714285714285,0.5,0.5952380952380952,0.238095238095238,0.4761904761904761,0.5952380952380952,0.1666666666666666,0.4761904761904761,0.4285714285714285,0.4285714285714285,0.6666666666666666,0.4761904761904761,0.5,0.5238095238095238,0.4761904761904761,0.5,0.6666666666666666,0.5,0.5,0.4047619047619047,andrey--jodar
glass_identification,svm,f1_score,0.22,0.2742857142857143,0.3629911883781853,0.1567099567099567,0.2165032679738562,0.2225213810579664,0.2211538461538461,0.2499597423510466,0.2516339869281045,0.1739341085271318,0.3046153846153846,0.1970618034447822,0.2249683830171635,0.2175925925925926,0.3160559678416821,0.2776556776556776,0.2091503267973856,0.2273242630385487,0.2601794340924775,0.1940035273368606,andrey--jodar
glass_identification,svm,accuracy,0.4047619047619047,0.4761904761904761,0.5476190476190477,0.4523809523809524,0.4047619047619047,0.3809523809523809,0.4285714285714285,0.4047619047619047,0.4047619047619047,0.3333333333333333,0.5,0.3809523809523809,0.4285714285714285,0.4285714285714285,0.5476190476190477,0.5238095238095238,0.4523809523809524,0.4285714285714285,0.5,0.4285714285714285,andrey--jodar
glass_identification,naive_bayes,f1_score,0.3832671957671957,0.4250528444076831,0.4201680672268907,0.3691520467836257,0.4619047619047619,0.4286638789326961,0.4506721348826612,0.5367543859649123,0.4222222222222222,0.4788178780284043,0.3090277777777777,0.4181167851756087,0.4974912165129556,0.4481481481481482,0.4366096866096866,0.426750637276953,0.5761183261183261,0.4140085061137692,0.4774374331887065,0.3925834022608216,andrey--jodar
glass_identification,naive_bayes,accuracy,0.3333333333333333,0.4523809523809524,0.5238095238095238,0.5,0.4761904761904761,0.4523809523809524,0.5,0.4285714285714285,0.5,0.3809523809523809,0.2142857142857142,0.3809523809523809,0.5476190476190477,0.5238095238095238,0.4047619047619047,0.4523809523809524,0.5714285714285714,0.4523809523809524,0.4761904761904761,0.2619047619047619,andrey--jodar
glass_identification,decision_tree,f1_score,0.6656445406445407,0.5037037037037037,0.6284608294930876,0.5107038123167155,0.6327004652435687,0.6375863902179691,0.4907498631636562,0.7816541353383458,0.6789321789321789,0.6344027582982702,0.6329411764705882,0.5678388278388279,0.6401028922768054,0.5697971781305115,0.6095312095312095,0.5985369037093174,0.6035353535353535,0.6511904761904762,0.5510429385429386,0.4086062596407423,andrey--jodar
glass_identification,decision_tree,accuracy,0.6666666666666666,0.6904761904761905,0.6666666666666666,0.6904761904761905,0.6666666666666666,0.6666666666666666,0.5952380952380952,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.7380952380952381,0.5952380952380952,0.7380952380952381,0.6666666666666666,0.6428571428571429,0.7142857142857143,0.6904761904761905,0.6904761904761905,0.6904761904761905,0.4523809523809524,andrey--jodar
glass_identification,knn,f1_score,0.3433333333333333,0.6838095238095239,0.3845679012345679,0.4401709401709402,0.4619859307359307,0.4319892963571124,0.4680033416875522,0.4643997445721584,0.4887218045112782,0.3593434343434343,0.4968660968660968,0.443223864258347,0.3274813274813274,0.4108858858858858,0.4784992784992785,0.683060713233127,0.5135912698412699,0.5446428571428571,0.3798309178743961,0.3298611111111111,andrey--jodar
glass_identification,knn,accuracy,0.5238095238095238,0.6666666666666666,0.6904761904761905,0.5952380952380952,0.6428571428571429,0.5476190476190477,0.6190476190476191,0.6904761904761905,0.6904761904761905,0.4761904761904761,0.7619047619047619,0.5238095238095238,0.5238095238095238,0.6190476190476191,0.6190476190476191,0.7380952380952381,0.6428571428571429,0.6190476190476191,0.5714285714285714,0.5476190476190477,andrey--jodar
iris,perceptron,accuracy,0.7,0.6666666666666666,0.8,0.6666666666666666,0.6333333333333333,0.3333333333333333,0.5333333333333333,0.7666666666666667,0.6666666666666666,0.8666666666666667,0.6666666666666666,0.4,0.8666666666666667,0.9,0.6,0.8333333333333334,0.7,0.6333333333333333,0.8,0.7,pablo-v2
iris,perceptron,f1_score,0.6800275076137146,0.5367686527106817,0.7802197802197802,0.5341880341880342,0.5308432371250708,0.1666666666666666,0.446078431372549,0.7340930674264007,0.5473453749315819,0.8666666666666667,0.5555555555555555,0.2793650793650793,0.8680770553835568,0.899749373433584,0.5046296296296297,0.8317654038477836,0.6105499438832772,0.60067467847354,0.7927790490719552,0.6050505050505052,pablo-v2
iris,svm,accuracy,1.0,0.9666666666666668,1.0,0.9333333333333332,0.9333333333333332,0.9666666666666668,1.0,1.0,0.9,0.9,0.9666666666666668,0.9666666666666668,0.9666666666666668,1.0,1.0,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.9666666666666668,pablo-v2
iris,svm,f1_score,1.0,0.9665831244778612,1.0,0.9333333333333332,0.9326599326599326,0.9665831244778612,1.0,1.0,0.8976982097186701,0.899749373433584,0.9665831244778612,0.9665831244778612,0.9665831244778612,1.0,1.0,0.9665831244778612,0.9665831244778612,0.9665831244778612,0.9665831244778612,0.9665831244778612,pablo-v2
iris,naive_bayes,accuracy,1.0,0.9333333333333332,1.0,0.9333333333333332,0.9,0.9666666666666668,0.9666666666666668,0.9666666666666668,1.0,0.9,1.0,0.9333333333333332,0.9333333333333332,0.9666666666666668,0.9666666666666668,0.9333333333333332,1.0,1.0,0.9666666666666668,0.9333333333333332,pablo-v2
iris,naive_bayes,f1_score,1.0,0.9326599326599326,1.0,0.9333333333333332,0.8976982097186701,0.9665831244778612,0.9665831244778612,0.9665831244778612,1.0,0.899749373433584,1.0,0.9333333333333332,0.9326599326599326,0.9665831244778612,0.9665831244778612,0.9326599326599326,1.0,1.0,0.9665831244778612,0.9333333333333332,pablo-v2
iris,knn,accuracy,1.0,0.9666666666666668,1.0,0.9666666666666668,0.9666666666666668,0.9333333333333332,0.9666666666666668,1.0,0.9333333333333332,0.9333333333333332,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.9333333333333332,0.9666666666666668,0.9666666666666668,0.9333333333333332,1.0,1.0,1.0,pablo-v2
iris,knn,f1_score,1.0,0.9665831244778612,1.0,0.9665831244778612,0.9665831244778612,0.9326599326599326,0.9665831244778612,1.0,0.9326599326599326,0.9333333333333332,0.9665831244778612,0.9665831244778612,0.9665831244778612,0.9333333333333332,0.9665831244778612,0.9665831244778612,0.9326599326599326,1.0,1.0,1.0,pablo-v2
iris,decision_tree,accuracy,1.0,0.8666666666666667,1.0,0.8666666666666667,0.9,0.9666666666666668,0.9333333333333332,1.0,0.9333333333333332,0.9,0.9666666666666668,0.9666666666666668,0.9333333333333332,0.9333333333333332,0.9666666666666668,0.9333333333333332,0.9333333333333332,0.9666666666666668,0.9666666666666668,0.9333333333333332,pablo-v2
iris,decision_tree,f1_score,1.0,0.8653198653198654,1.0,0.8653198653198654,0.8976982097186701,0.9665831244778612,0.9333333333333332,1.0,0.9326599326599326,0.899749373433584,0.9665831244778612,0.9665831244778612,0.9326599326599326,0.9326599326599326,0.9665831244778612,0.9326599326599326,0.9326599326599326,0.9665831244778612,0.9665831244778612,0.9333333333333332,pablo-v2
spambase,perceptron,f1_score,0.8875547559449312,0.8850867594965801,0.9006550602463725,0.8399189179921026,0.9021242972040692,0.9017310169331784,0.9229797658089854,0.8951181391927922,0.8844546258339362,0.8962011896903412,0.8733025442777114,0.885329677178113,0.8844152026454233,0.8877538570747235,0.8932599742038395,0.8924821714680657,0.864268970378506,0.8674669867947179,0.8700687317578382,0.8993682579414745,arthur--heiji
spambase,perceptron,accuracy,0.8913043478260869,0.8913043478260869,0.9032608695652172,0.8510869565217392,0.9077090119435396,0.907608695652174,0.925,0.8989130434782608,0.8913043478260869,0.9011943539630836,0.8782608695652174,0.8913043478260869,0.8880434782608696,0.8923913043478261,0.8990228013029316,0.8989130434782608,0.8728260869565218,0.8728260869565218,0.8760869565217392,0.9044516829533116,arthur--heiji
spambase,svm,f1_score,0.9233449818900068,0.9332786491677336,0.922250759671807,0.926828436923613,0.9390097295094492,0.9279474107048118,0.9277921670198572,0.9161373927696832,0.9392767022578304,0.9378542510121456,0.9179381463733716,0.9288971326995904,0.936297856976819,0.926984126984127,0.9330279232111692,0.9342493784158916,0.93655641776972,0.9227141816467496,0.9313801371663616,0.9283279277831888,arthur--heiji
spambase,svm,accuracy,0.9260869565217392,0.9369565217391304,0.925,0.9315217391304348,0.9435396308360476,0.932608695652174,0.9304347826086956,0.9195652173913044,0.9434782608695652,0.9413680781758956,0.9217391304347826,0.933695652173913,0.9391304347826088,0.9304347826086956,0.9370249728555916,0.9380434782608696,0.9402173913043478,0.9271739130434784,0.933695652173913,0.9326818675352876,arthur--heiji
spambase,naive_bayes,f1_score,0.7998145730449755,0.8272608437314319,0.8367590279354985,0.7989013704358404,0.8103496913018172,0.7967802157606966,0.8345292413714762,0.7923361006883919,0.8368825592762262,0.8208681214421252,0.8300460410390496,0.8087065832263001,0.8095375548171029,0.8060781750317361,0.8170047007901278,0.8103092783505155,0.8046850445531109,0.8350071736011477,0.8313541692537126,0.7973745966559108,arthur--heiji
spambase,naive_bayes,accuracy,0.8,0.8282608695652174,0.8369565217391305,0.8,0.8121606948968513,0.7978260869565217,0.8347826086956521,0.7923913043478261,0.8391304347826087,0.8219326818675353,0.8304347826086956,0.8097826086956522,0.8097826086956522,0.8065217391304348,0.8186753528773073,0.8108695652173913,0.8054347826086956,0.8369565217391305,0.8315217391304348,0.7980456026058632,arthur--heiji
spambase,decision_tree,f1_score,0.909103217614362,0.9115639719311736,0.907990799079908,0.9165217391304348,0.9240970958723476,0.9213402336657764,0.9164371388312,0.9119967035554508,0.9320164709719504,0.916034004523446,0.9015390368687348,0.9167260539597832,0.9235234783169706,0.910923092964712,0.9225036640180244,0.9077694235588972,0.9261337120318748,0.9205816009037784,0.9286360698125404,0.932565571074888,arthur--heiji
spambase,decision_tree,accuracy,0.9119565217391304,0.9163043478260868,0.9119565217391304,0.9217391304347826,0.9294245385450596,0.9260869565217392,0.9195652173913044,0.915217391304348,0.9369565217391304,0.9207383279044516,0.9054347826086956,0.9228260869565216,0.9271739130434784,0.915217391304348,0.9272529858849076,0.9130434782608696,0.9304347826086956,0.925,0.9315217391304348,0.9359391965255156,arthur--heiji
spambase,knn,f1_score,0.9037153322867608,0.8936982557672213,0.8962012400910446,0.8935367986011763,0.8981553154058808,0.900960849994242,0.9032627184165763,0.8990918513096,0.909026369168357,0.8978509430552872,0.8997021789007875,0.8979600942887485,0.9000863877576206,0.8983098420126405,0.9017957386488368,0.9020588924138224,0.9020588924138224,0.8998637576612858,0.901799965892542,0.8992545335899947,arthur--heiji
spambase,knn,accuracy,0.907608695652174,0.9,0.9,0.9010869565217392,0.9044516829533116,0.9065217391304348,0.907608695652174,0.9032608695652172,0.915217391304348,0.9033659066232356,0.9043478260869564,0.9054347826086956,0.9043478260869564,0.9032608695652172,0.9077090119435396,0.907608695652174,0.907608695652174,0.9054347826086956,0.9054347826086956,0.9055374592833876,arthur--heiji
data.csv,perceptron,accuracy,0.695,0.675,0.6475,0.675,0.6,0.64,0.6725,0.7275,0.7025,0.6775,0.6925,0.6925,0.6825,0.68,0.665,0.6875,0.7225,0.695,0.7025,0.71,luiz-miguel-silva
data.csv,perceptron,f1_score,0.626131054541958,0.5981664833149981,0.5593097456859106,0.5940008043272248,0.5668882346805132,0.5890546655252537,0.5979312873816117,0.6399687934801473,0.6216109768933613,0.6127871112627211,0.5970303521514594,0.6191356476123937,0.601980999844562,0.6155234465029696,0.5519804044968395,0.6228110997650813,0.6217740414442975,0.5934001670843775,0.6136902599372429,0.6035542228885558,luiz-miguel-silva
data.csv,svm,accuracy,0.7325,0.735,0.7375,0.745,0.73,0.735,0.755,0.755,0.7025,0.7325,0.745,0.7775,0.7425,0.7125,0.73,0.755,0.7525,0.74,0.705,0.7325,luiz-miguel-silva
data.csv,svm,f1_score,0.5785650623885918,0.6054484048784703,0.6185579729770395,0.6463982583774249,0.6141906405421217,0.618695768911926,0.6437229873723176,0.6505172706864314,0.5645571857935526,0.6053820899442475,0.6313874034462269,0.6656486708158441,0.6286637012325086,0.5917733462203549,0.5915979910416924,0.6421473967955198,0.6365877641985773,0.575812741220994,0.5816328240697989,0.6198541519642436,luiz-miguel-silva
data.csv,naive_bayes,accuracy,0.675,0.67,0.6625,0.68,0.615,0.6325,0.6575,0.665,0.655,0.6675,0.65,0.655,0.6525,0.6325,0.6475,0.6575,0.6875,0.6575,0.67,0.695,luiz-miguel-silva
data.csv,naive_bayes,f1_score,0.5759757354946173,0.5824775353016688,0.5305674717672684,0.5750612074678184,0.5064840570007626,0.5387386824969826,0.5546750916039956,0.569884516093147,0.5501327106874266,0.5648377826279701,0.550433074708437,0.5379115379115379,0.5455736029571646,0.521900462802619,0.5438427871148459,0.5749398569397073,0.6154658147632478,0.5625985400537342,0.5863101788951216,0.6063515509968056,luiz-miguel-silva
data.csv,knn,accuracy,0.6675,0.655,0.68,0.68,0.62,0.6525,0.675,0.6975,0.67,0.69,0.645,0.685,0.66,0.6525,0.6475,0.67,0.6825,0.67,0.6625,0.685,luiz-miguel-silva
data.csv,knn,f1_score,0.5655992920143863,0.5519182964861381,0.5707945913828266,0.5923602008416409,0.5286943584694543,0.5654730676256237,0.595093550102039,0.6270438003485569,0.5904093585709477,0.5968461166975074,0.5399483931503636,0.6010221989720406,0.5683539528899023,0.5657320936725413,0.5315616423466754,0.5719560499339842,0.5715530806057427,0.5903212083537405,0.5569435068329689,0.5784645466584125,luiz-miguel-silva
data.csv,decision_tree,accuracy,0.655,0.6475,0.6475,0.65,0.66,0.665,0.6425,0.67,0.665,0.655,0.655,0.66,0.65,0.615,0.62,0.6875,0.6475,0.6675,0.635,0.6625,luiz-miguel-silva
data.csv,decision_tree,f1_score,0.5911057745811278,0.5704033383069919,0.5786900342455898,0.5998562342215134,0.6097467045179464,0.5963567873115612,0.5881816539064451,0.6151832144463724,0.60582342899475,0.5876333298409927,0.5974698048569458,0.5909266521762331,0.5938214938214939,0.5554133944929274,0.5547093760958617,0.617959200997231,0.5853045294910355,0.6002051416768257,0.575434205036998,0.6103842629293995,luiz-miguel-silva
vertebra-column,perceptron,f1_score,0.4433497536945812,0.8927354035713169,0.7254637835282997,0.5832332761578044,0.8001526662062449,0.6481205926117616,0.6044634377967711,0.7663872770255749,0.797148237826204,0.7997198879551822,0.4235764235764236,0.5632583170254403,0.5987301587301587,0.5005446623093682,0.7171929824561403,0.6671626984126983,0.7567216391804097,0.7278688524590163,0.6978121757177448,0.6516036418697029,eduardo-barbeiro
vertebra-column,perceptron,accuracy,0.5967741935483871,0.9032258064516128,0.7580645161290323,0.7258064516129032,0.8548387096774194,0.7903225806451613,0.7258064516129032,0.7741935483870968,0.8225806451612904,0.8225806451612904,0.5967741935483871,0.7096774193548387,0.7580645161290323,0.5645161290322581,0.7419354838709677,0.7741935483870968,0.8064516129032258,0.8225806451612904,0.7903225806451613,0.7741935483870968,eduardo-barbeiro
vertebra-column,svm,f1_score,0.5139010828211882,0.4576850932362352,0.4746291959406712,0.5028985507246376,0.6154057582629011,0.462026862026862,0.4492122719734659,0.4816993464052287,0.54312047399605,0.5071168487255875,0.5410628019323672,0.468100358422939,0.4902356902356903,0.4977954144620811,0.4615384615384615,0.4486727742541695,0.5068376068376068,0.5282935455349248,0.489135158626684,0.4944560982918789,eduardo-barbeiro
vertebra-column,svm,accuracy,0.7419354838709677,0.6129032258064516,0.6451612903225806,0.6612903225806451,0.7741935483870968,0.6935483870967742,0.6451612903225806,0.6451612903225806,0.7419354838709677,0.6774193548387096,0.7741935483870968,0.6290322580645161,0.6774193548387096,0.6612903225806451,0.6612903225806451,0.6129032258064516,0.6935483870967742,0.7096774193548387,0.6612903225806451,0.7258064516129032,eduardo-barbeiro
vertebra-column,naive_bayes,f1_score,0.8357142857142857,0.8770114942528736,0.7432950191570882,0.7056774642981539,0.6856800856800858,0.7205128205128206,0.9034578990973706,0.7347763347763347,0.8344877344877345,0.7167919799498748,0.8881446039340776,0.7762416794674859,0.7583157583157583,0.7861246612466125,0.7486821186511589,0.7532467532467533,0.8341044919992289,0.8310267471958586,0.8424691358024691,0.7002489884842825,eduardo-barbeiro
vertebra-column,naive_bayes,accuracy,0.8870967741935484,0.8870967741935484,0.7741935483870968,0.7580645161290323,0.7741935483870968,0.8064516129032258,0.935483870967742,0.7419354838709677,0.8709677419354839,0.7580645161290323,0.9193548387096774,0.8225806451612904,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.7903225806451613,0.8548387096774194,0.8709677419354839,0.8709677419354839,0.8064516129032258,eduardo-barbeiro
vertebra-column,decision_tree,f1_score,0.8238977165105755,0.8840492034684412,0.6895268474215842,0.630299776851501,0.6939574567554931,0.6579535200224855,0.8221743982145703,0.7127196919823647,0.6980539861895795,0.7326923076923076,0.7057277391243235,0.7739695340501792,0.7822906618896698,0.767475747941632,0.7720588235294118,0.6785340936089334,0.7139876718824087,0.786816220880069,0.7160453925159808,0.6171868462890134,eduardo-barbeiro
vertebra-column,decision_tree,accuracy,0.8548387096774194,0.9032258064516128,0.7580645161290323,0.6935483870967742,0.8064516129032258,0.7741935483870968,0.8870967741935484,0.7258064516129032,0.7903225806451613,0.7580645161290323,0.7903225806451613,0.8225806451612904,0.8387096774193549,0.7903225806451613,0.8387096774193549,0.7580645161290323,0.7580645161290323,0.8387096774193549,0.7741935483870968,0.7419354838709677,eduardo-barbeiro
vertebra-column,knn,f1_score,0.7760210803689064,0.6568366592756837,0.7130647130647131,0.6828271395334214,0.7688977688977688,0.7261538461538461,0.6620786620786621,0.7673992673992673,0.7361795292829775,0.7387309790410566,0.5950947603121516,0.6910600255427841,0.7739491691104594,0.7640760441292356,0.6971788028974456,0.6970335675253708,0.7377204539675936,0.7047619047619048,0.728114478114478,0.5618067978533094,eduardo-barbeiro
vertebra-column,knn,accuracy,0.8225806451612904,0.6935483870967742,0.7419354838709677,0.7258064516129032,0.8225806451612904,0.7903225806451613,0.7096774193548387,0.7741935483870968,0.7580645161290323,0.7580645161290323,0.7580645161290323,0.7258064516129032,0.8225806451612904,0.7741935483870968,0.7096774193548387,0.7258064516129032,0.7741935483870968,0.7419354838709677,0.7741935483870968,0.6774193548387096,eduardo-barbeiro
garments-workers,perceptron,accuracy,0.7714932126696833,0.6425339366515838,0.6719457013574661,0.7692307692307693,0.7647058823529411,0.8122171945701357,0.5203619909502263,0.7737556561085973,0.7782805429864253,0.7692307692307693,0.8099547511312217,0.8031674208144797,0.7669683257918553,0.7601809954751131,0.7058823529411765,0.7579185520361991,0.7760180995475113,0.8167420814479638,0.755656108597285,0.7692307692307693,isaque--cruz
garments-workers,perceptron,f1_score,0.627172433375926,0.6151014109347444,0.6593476100117466,0.6108080110497237,0.5310344827586206,0.6537848116795486,0.5203227061449311,0.6108058608058609,0.6296638281864505,0.5012169757047396,0.6794889502762431,0.6927097068060317,0.5497601740592395,0.5280061250805932,0.675124951941561,0.5727076425467326,0.5961011270179714,0.695361758974839,0.6433886149708651,0.5568181818181819,isaque--cruz
garments-workers,svm,accuracy,0.7285067873303167,0.7714932126696833,0.751131221719457,0.7375565610859729,0.753393665158371,0.7647058823529411,0.744343891402715,0.7217194570135747,0.755656108597285,0.7624434389140271,0.7579185520361991,0.7307692307692307,0.748868778280543,0.744343891402715,0.7669683257918553,0.7239819004524887,0.7647058823529411,0.7669683257918553,0.7420814479638009,0.744343891402715,isaque--cruz
garments-workers,svm,f1_score,0.4371816638370118,0.4630438181840051,0.490932696737446,0.4701554232804232,0.4385044811952962,0.4600892647404275,0.4804813863260487,0.4345062877708318,0.4641702586206896,0.4752077797252219,0.4571582704911447,0.4456073781291172,0.4758501330085574,0.4664059912609639,0.4694124914047294,0.449867374005305,0.4683567727609178,0.4926843401419672,0.4425366199052972,0.4434303925829349,isaque--cruz
garments-workers,naive_bayes,accuracy,0.7737556561085973,0.8144796380090498,0.7805429864253394,0.7760180995475113,0.7963800904977375,0.8167420814479638,0.7579185520361991,0.8009049773755657,0.7737556561085973,0.7986425339366516,0.8076923076923077,0.7963800904977375,0.7805429864253394,0.7805429864253394,0.7873303167420814,0.7647058823529411,0.8031674208144797,0.8076923076923077,0.7782805429864253,0.7850678733031674,isaque--cruz
garments-workers,naive_bayes,f1_score,0.6422211429496519,0.6959089841259187,0.6451855836471221,0.6588947873061902,0.6532064023433414,0.6863298259140171,0.634272899508951,0.7004036109313861,0.6108058608058609,0.6773537396553562,0.6862342261084525,0.6834516344654168,0.6419378815590576,0.6514393957870946,0.6481368563685637,0.6565964440460182,0.6696476894925388,0.6971992746322788,0.6223803047738605,0.6427082358346876,isaque--cruz
garments-workers,decision_tree,accuracy,0.7963800904977375,0.7918552036199095,0.8031674208144797,0.7918552036199095,0.8076923076923077,0.8461538461538461,0.7647058823529411,0.8054298642533937,0.7805429864253394,0.7895927601809954,0.8144796380090498,0.8393665158371041,0.7895927601809954,0.7782805429864253,0.8076923076923077,0.7918552036199095,0.7782805429864253,0.8031674208144797,0.7963800904977375,0.7873303167420814,isaque--cruz
garments-workers,decision_tree,f1_score,0.7112453180801952,0.7265513624014848,0.7359563291791121,0.7199217566190044,0.7354281247579276,0.7802923976608187,0.6994141033689056,0.7540631469979296,0.6876962187597881,0.7211318629878631,0.7369124009175111,0.78318214164807,0.7211318629878631,0.7152136752136753,0.7161593496672031,0.7421890850071009,0.7052611523910617,0.7375565610859729,0.7276834611171961,0.7025231262708709,isaque--cruz
garments-workers,knn,accuracy,0.7850678733031674,0.8099547511312217,0.7918552036199095,0.7850678733031674,0.7895927601809954,0.830316742081448,0.7624434389140271,0.7782805429864253,0.7895927601809954,0.7737556561085973,0.7895927601809954,0.7986425339366516,0.8122171945701357,0.8009049773755657,0.7647058823529411,0.7714932126696833,0.7963800904977375,0.8235294117647058,0.7895927601809954,0.7669683257918553,isaque--cruz
garments-workers,knn,f1_score,0.7168099814533806,0.7376854599406528,0.7311719906917706,0.7134238310708898,0.7142142037751591,0.7602048566654369,0.6832579185520362,0.7152136752136753,0.7194570135746607,0.6992460738684304,0.7005747252026835,0.726506065978378,0.7449438592832065,0.7399443731279418,0.6853231106243154,0.7203635611959184,0.7355404866374153,0.7595480541219137,0.7005747252026835,0.6772922204501152,isaque--cruz
